Meta 資訊
Meta Platforms Ireland Limited,Merrion Road,Dublin 4,D04 X2K5,Ireland,VAT Reg. No. IE9692928F

廣告主資料
帳號：3518918538334496,公司：木品時尚有限公司,和德街33號11樓,"高雄市鳳山區,",Taiwan,BAN: 90553951

帳單報告：2026/1/1 - 2026/2/1

Meta 廣告付款
日期,交易編號,付款方式,金額,幣別
2026/1/29,25576967621987520-25607745448909740,萬事達卡 ···· 2202,"3,685",TWD
2026/1/28,25546351321715814-25547072451643699,萬事達卡 ···· 2202,"8,792",TWD
2026/1/26,25580386711645614-25898018523215756,萬事達卡 ···· 2202,"8,840",TWD
2026/1/24,25644887875195493-25879512368399705,萬事達卡 ···· 2202,"9,890",TWD
2026/1/24,25526295200388096-25557128297304789,萬事達卡 ···· 2202,"9,173",TWD
2026/1/24,25438740155810272-25604479459236334,萬事達卡 ···· 2202,"9,005",TWD
2026/1/20,25467085756309036-25567958476221766,萬事達卡 ···· 2202,"8,165",TWD
2026/1/18,25448208871530060-25471126849238265,萬事達卡 ···· 2202,"8,487",TWD
2026/1/16,25521517464199205-25425079417176337,萬事達卡 ···· 2202,690,TWD
2026/1/13,25424542257230058-25455751577442462,萬事達卡 ···· 2202,"8,189",TWD
2026/1/12,25330440473306908-25394670700217209,萬事達卡 ···· 2202,"7,121",TWD
2026/1/12,25393947066956239-25446940891656864,萬事達卡 ···· 2202,"8,671",TWD
2026/1/11,25486538141030467-25482704078080544,萬事達卡 ···· 6609,"7,837",TWD
2026/1/11,25520516740965941-25383698027981143,萬事達卡 ···· 6609,"7,220",TWD
2026/1/11,25382476418103306-25520038364347112,萬事達卡 ···· 6609,"6,633",TWD
2026/1/10,25521353830882234-25378280241856255,萬事達卡 ···· 6609,"6,073",TWD
2026/1/10,25747108668306743-25512864538397828,萬事達卡 ···· 6609,"5,544",TWD
2026/1/10,25374638438887104-25512214081796207,萬事達卡 ···· 6609,"5,044",TWD
2026/1/10,25309809275370028-25474086008942347,萬事達卡 ···· 6609,"5,318",TWD
2026/1/9,25469545006063114-25469545076063107,萬事達卡 ···· 6609,"4,573",TWD
,,總帳單金額,"138,950",TWD

VAT Rate: 0%
VAT Amount: 0
