Meta 資訊
Meta Platforms Ireland Limited,Merrion Road,Dublin 4,D04 X2K5,Ireland,VAT Reg. No. IE9692928F

廣告主資料
帳號：3518918538334496,公司：木品時尚有限公司,和德街33號11樓,"高雄市鳳山區,",Taiwan,BAN: 90553951

帳單報告：2026/6/1 - 2026/7/1

Meta 廣告付款
付款方式：Visa ···· 5208
日期,交易編號,金額,幣別
2026/6/24,27401341619550101-27647438098273781,"24,833",TWD
2026/6/16,27289394927411438-27150352031315727,"17,845",TWD
2026/6/14,27271786309172300-27237217169295880,"24,833",TWD
2026/6/13,27503465992670993-27174962908854645,"24,833",TWD
,總帳單金額,"92,344",TWD

VAT Rate: 0%
VAT Amount: 0
