Meta 資訊
Meta Platforms Ireland Limited,Merrion Road,Dublin 4,D04 X2K5,Ireland,VAT Reg. No. IE9692928F

廣告主資料
帳號：3518918538334496,公司：木品時尚有限公司,和德街33號11樓,"高雄市鳳山區,",Taiwan,BAN: 90553951

帳單報告：2026/4/1 - 2026/4/29

Meta 廣告付款
日期,交易編號,付款方式,金額,幣別
2026/4/21,26415585104792425-26566947172989556,Visa ···· 5208,"8,873",TWD
2026/4/16,26353672904316979-26492783420405930,萬事達卡 ···· 2202,"14,153",TWD
2026/4/15,26733171999700400-26280713518279594,萬事達卡 ···· 7959,"21,279",TWD
2026/4/13,26327333143617624-26325478453803091,萬事達卡 ···· 6609,"18,503",TWD
2026/4/11,26344701698547438-26238731782477768,萬事達卡 ···· 2202,"17,532",TWD
2026/4/10,26397506203266985-26294801880204084,萬事達卡 ···· 2202,"16,579",TWD
,,總帳單金額,"96,919",TWD

VAT Rate: 0%
VAT Amount: 0
